File Name,Index Type,Threads,Blocks,Build Time (s),Elapsed Time (s)
index_build_minmax_threads_128_blocks_1000_0.log,minmax,128,1000,1865.65,1865.79
index_build_minmax_threads_128_blocks_1000_1.log,minmax,128,1000,1907.07,1907.13
index_build_minmax_threads_128_blocks_1000_2.log,minmax,128,1000,1911.49,1911.55
index_build_minmax_threads_128_blocks_1000_3.log,minmax,128,1000,1888.56,1888.65
index_build_minmax_threads_128_blocks_1000_4.log,minmax,128,1000,1949.07,1949.21
index_build_minmax_threads_64_blocks_1000_0.log,minmax,64,1000,1920.71,1920.73
index_build_minmax_threads_64_blocks_1000_1.log,minmax,64,1000,1981.32,1981.37
index_build_minmax_threads_64_blocks_1000_2.log,minmax,64,1000,1941.59,1941.64
index_build_minmax_threads_64_blocks_1000_3.log,minmax,64,1000,1870.49,1870.52
index_build_minmax_threads_64_blocks_1000_4.log,minmax,64,1000,1953.67,1953.69
index_build_minmax_threads_32_blocks_1000_0.log,minmax,32,1000,1954.88,1954.91
index_build_minmax_threads_32_blocks_1000_1.log,minmax,32,1000,1957.17,1957.2
index_build_minmax_threads_32_blocks_1000_2.log,minmax,32,1000,1950.07,1950.1
index_build_minmax_threads_32_blocks_1000_3.log,minmax,32,1000,2020.77,2020.79
index_build_minmax_threads_32_blocks_1000_4.log,minmax,32,1000,2006.55,2006.59
index_build_minmax_threads_16_blocks_1000_0.log,minmax,16,1000,2030.06,2030.11
index_build_minmax_threads_16_blocks_1000_1.log,minmax,16,1000,1894.49,1894.52
index_build_minmax_threads_16_blocks_1000_2.log,minmax,16,1000,2028.3,2028.34
index_build_minmax_threads_16_blocks_1000_3.log,minmax,16,1000,1999.98,2000.02
index_build_minmax_threads_16_blocks_1000_4.log,minmax,16,1000,2082.15,2082.18
index_build_minmax_threads_8_blocks_1000_0.log,minmax,8,1000,2012.72,2012.75
index_build_minmax_threads_8_blocks_1000_1.log,minmax,8,1000,1950.23,1950.26
index_build_minmax_threads_8_blocks_1000_2.log,minmax,8,1000,1938.7,1938.73
index_build_minmax_threads_8_blocks_1000_3.log,minmax,8,1000,2108.52,2108.55
index_build_minmax_threads_8_blocks_1000_4.log,minmax,8,1000,1959.14,1959.19
index_build_minmax_threads_4_blocks_1000_0.log,minmax,4,1000,1932.14,1932.17
index_build_minmax_threads_4_blocks_1000_1.log,minmax,4,1000,2000.85,2000.88
index_build_minmax_threads_4_blocks_1000_2.log,minmax,4,1000,1975.5,1975.53
index_build_minmax_threads_4_blocks_1000_3.log,minmax,4,1000,1896.05,1896.07
index_build_minmax_threads_4_blocks_1000_4.log,minmax,4,1000,1916.84,1916.86
index_build_minmax_threads_2_blocks_1000_0.log,minmax,2,1000,2008.68,2008.71
index_build_minmax_threads_2_blocks_1000_1.log,minmax,2,1000,1932.21,1932.24
index_build_minmax_threads_2_blocks_1000_2.log,minmax,2,1000,1900.86,1900.89
index_build_minmax_threads_2_blocks_1000_3.log,minmax,2,1000,1941.83,1941.88
index_build_minmax_threads_2_blocks_1000_4.log,minmax,2,1000,2171.36,2171.38
index_build_minmax_threads_1_blocks_1000_0.log,minmax,1,1000,1935.35,1935.4
index_build_minmax_threads_1_blocks_1000_1.log,minmax,1,1000,2029.76,2029.8
index_build_minmax_threads_1_blocks_1000_2.log,minmax,1,1000,1873.76,1873.81
index_build_minmax_threads_1_blocks_1000_3.log,minmax,1,1000,1981.5,1981.54
index_build_minmax_threads_1_blocks_1000_4.log,minmax,1,1000,1940.36,1940.43
