File Name,Index Type,Threads,Blocks,Build Time (s),Elapsed Time (s)
index_build_minmax_threads_128_blocks_10_0.log,minmax,128,10,183.843,183.874
index_build_minmax_threads_128_blocks_10_1.log,minmax,128,10,178.825,178.849
index_build_minmax_threads_128_blocks_10_2.log,minmax,128,10,179.955,179.981
index_build_minmax_threads_128_blocks_10_3.log,minmax,128,10,181.119,181.162
index_build_minmax_threads_128_blocks_10_4.log,minmax,128,10,176.387,176.411
index_build_minmax_threads_64_blocks_10_0.log,minmax,64,10,174.885,174.915
index_build_minmax_threads_64_blocks_10_1.log,minmax,64,10,174.876,174.907
index_build_minmax_threads_64_blocks_10_2.log,minmax,64,10,180.387,180.412
index_build_minmax_threads_64_blocks_10_3.log,minmax,64,10,175.174,175.198
index_build_minmax_threads_64_blocks_10_4.log,minmax,64,10,172.567,172.598
index_build_minmax_threads_32_blocks_10_0.log,minmax,32,10,168.566,168.612
index_build_minmax_threads_32_blocks_10_1.log,minmax,32,10,167.492,167.522
index_build_minmax_threads_32_blocks_10_2.log,minmax,32,10,167.0,167.044
index_build_minmax_threads_32_blocks_10_3.log,minmax,32,10,170.747,170.788
index_build_minmax_threads_32_blocks_10_4.log,minmax,32,10,168.084,168.114
index_build_minmax_threads_16_blocks_10_0.log,minmax,16,10,170.446,170.487
index_build_minmax_threads_16_blocks_10_1.log,minmax,16,10,168.9,168.943
index_build_minmax_threads_16_blocks_10_2.log,minmax,16,10,169.009,169.039
index_build_minmax_threads_16_blocks_10_3.log,minmax,16,10,169.601,169.634
index_build_minmax_threads_16_blocks_10_4.log,minmax,16,10,171.93,171.957
index_build_minmax_threads_8_blocks_10_0.log,minmax,8,10,170.063,170.088
index_build_minmax_threads_8_blocks_10_1.log,minmax,8,10,169.482,169.515
index_build_minmax_threads_8_blocks_10_2.log,minmax,8,10,178.238,178.275
index_build_minmax_threads_8_blocks_10_3.log,minmax,8,10,174.997,175.012
index_build_minmax_threads_8_blocks_10_4.log,minmax,8,10,176.727,176.758
index_build_minmax_threads_4_blocks_10_0.log,minmax,4,10,176.613,176.642
index_build_minmax_threads_4_blocks_10_1.log,minmax,4,10,177.959,177.981
index_build_minmax_threads_4_blocks_10_2.log,minmax,4,10,174.121,174.154
index_build_minmax_threads_4_blocks_10_3.log,minmax,4,10,177.606,177.62
index_build_minmax_threads_4_blocks_10_4.log,minmax,4,10,174.975,174.999
index_build_minmax_threads_2_blocks_10_0.log,minmax,2,10,177.445,177.459
index_build_minmax_threads_2_blocks_10_1.log,minmax,2,10,180.325,180.334
index_build_minmax_threads_2_blocks_10_2.log,minmax,2,10,175.535,175.567
index_build_minmax_threads_2_blocks_10_3.log,minmax,2,10,174.889,174.908
index_build_minmax_threads_2_blocks_10_4.log,minmax,2,10,178.19,178.214
index_build_minmax_threads_1_blocks_10_0.log,minmax,1,10,173.422,173.437
index_build_minmax_threads_1_blocks_10_1.log,minmax,1,10,175.259,175.273
index_build_minmax_threads_1_blocks_10_2.log,minmax,1,10,175.303,175.317
index_build_minmax_threads_1_blocks_10_3.log,minmax,1,10,180.037,180.052
index_build_minmax_threads_1_blocks_10_4.log,minmax,1,10,175.218,175.232
